L1 Hawaiian_Text,Reference_Translation
"Penei ke mele a Makuakaumana i oli aku ai i Tahiti, ia laua me Paao i holo ai i alii hou no Hawaii, no ka mea, ua pau na alii mua o Hawaii nei i ka hewa, o Kapawa ke alii o Hawaii nei ia manawa, i ke kanaha o na hanauna alii mai a Opuukahonua mai a ia Kapawa. A ia Makuakaumana ma i aneane aku ai e kau i ke awa o Moaulanuiakea ia manawa i oli aku ai o Makuakaumana ia Lonokaeho ke kahuna:","This is how the song runs that Makuakaumana chanted at Tahiti, when he and Paao went to get a new chief for Hawaii nei, because all the old chiefs of Hawaii had sinned, Kapawa being the king of Hawaii at that time, he being of the fortieth generation from the time of Opuukahonua. When Makuakaumana and company were nearing the beach in the harbor of Moaulanuiakea then Makuakaumana chanted to Lonokaeho, the priest of that place:"
"Ma ka hoonohonoho ana i ka mookuauhau mai a Opuukahonua mai, aole i ikeia ko Opuukahonua mau makua, aka, o ka mea i oleloia i loko o ka moolelo o Kualii, mai Tahiti mai o Opuukahonua o ka hele ana mai a noho i Hawaii nei, i ka manawa, aole he kanaka ma keia mau aina. Holo mai o Opuukahonua me kona mau kaikaina elua, o Lolomu a me Mihi, hookahi wahine o Lana, a o lakou na kupuna mua o Hawaii nei. A penei ka laha ana:","In the genealogical tree of Opuukahonua it is not stated who his parents were, but, it is stated in the genealogy of Kualii, that Opuukahonua came from Tahiti to live in Hawaii when these islands were inhabited by human beings. Opuukahonua came with his two younger brothers Lolomu and Mihi and one woman, Lana, and they became the progenitors of the people of Hawaii nei, and this is how they increased:"
"No ka mea, i ka wa i kiiia mai ai o Iwikauikaua e Kanaloapulehu e kau i ka lele, no ka hewa ana o Iwikauikaua no ke kipi ana i na ’lii malalo ona, a kipi aku ia Kanaloakuaana kekahi alii o Maui, a nolaila, ia Iwikauikaua i ku ai iluna o ka anuu, nana ae la o Iwikauikaua i ke kahuna ia Kukailani, a kahea aku la: “E, ka pule a ke kahuna, kulia i mua o ke akua, na na mai ia’u ina he kahuna oe na’u.” A lohe o Kukailani i keia mea: “Ae, e ku wau i kuu pule a i ino kuu pule make oe, aka i hololea kuu pule a hiki i ka amama ana; aole oe e kau i ka lele i keia la.” A penei ka pule ana:","On the day when Iwikauikaua was taken by Kanaloapulehu to be sacrificed on the altar of the temple, because Iwikauikaua had done wrong in promoting rebellion amongst the subordinate chiefs under him to rebel against Kanaloakuaana, a king of Maui, then when Iwikauikaua stood on the steps of the altar he looked to the priest, Kukailani and appealed to him: “O prayer of the priest, stand thou before the deity that he may look towards me, if thou art indeed my priest.” When Kukailani heard this call he answered: “Yes, I will stand and pray, but if my prayer is not propitious you will die; but if my prayer is uninterrupted to the Amen you will not die today.”"
"O keia ka pule i oleloia i loko o ka molelo o Kamalalawalu. A ma keia mele pule i maopopo ai he pono ke mahele i mau wa. No ka mea, aia wale no ma na ’lii aimoku e ili ai ke kapu moku. A mehe mea la, ua hoomaopopoia na wa ma ia mau ano e like me na pauku mele pule maluna ae.","This is the prayer that is referred to in the genealogy of Kamalalawalu. And it is shown by the construction of this poetical prayer that time should be divided into epochs. Because it is only on the reigning kings that the kapu of the islands are conferred, and it would seem time and epochs were divided as shown by the division of the chant referred to above."
"Ua oleloia ma ka moolelo o Hawaii nei, i paiia ma Lahainaluna, a me ka moolelo i hooponopono hou ia e Mr. Pokuea o Lahainaluna, ua ku mua mai kekahi moku ma Hawaii nei i ka wa kahiko, a oia ka hoomaka mua ana o keia lahui e ike i na haole. Aka hoi, ma ka moolelo o Kualii kekahi alii kahiko o Hawaii nei, ke alii kaulana no ka ikaika i ke kaua; ua oleloia, nana i ike mua o Tahiti, a oia ka mea i ike mua i na haole i ka wa kahiko, a penei ka hoomaopopo ana ma kona pule, ma ka hapa waena o kona moolelo e like me malalo iho:","It is told in the history of Hawaii that was printed at Lahainaluna, and also in the history revised by Pogue of Lahainaluna, that a vessel of some kind had arrived at Hawaii long ago, and that was the first knowledge the people of this race had of foreigners; but in the history of Kualii, one of the former kings of Hawaii nei and a famous one for his strength and valor in battle, it is said that he was the first one to visit Tahiti, and that he was the one that first knew or met foreigners in the olden times. This is how that is recognized by his prayer in the middle of his history as recited below:"
"Mai ka hiapo a ka mua ponoi o Aukelenuiaiku, aole o Iku i hii, aole i lawelawe, aole hoi i hooili i ka aina no kekahi o lakou, aole no hoi i hoopunahele. A ia Aukelenuiaiku, malama o Iku, lawelawe a hii, a hooili i kona kapu a me ka aina nona. A no keia punahele o Aukelenuiaiku i ko lakou makuakane, ua huhu kona mau hoahanau ia ia, a ua imi lakou i mea nona e make ai. Wahi a ko lakou kaikuaana loa, a Kamakahinuiaiku: “Kupanaha ko kakou makuakane, ia’u hoi i ke keiki mua, aole i hooili mai i kona kapu a me ka aina, a i ke keiki hope loa, ia ia ka e hooili ai.”","From the first-born child to the one just ahead of Aukelenuiaiku, Iku never took them up in his arms, never spoke of leaving the kingdom to any of them, nor did he make much of any of them. But at the birth of Aukelenuiaiku, Iku took the greatest interest in him, took care of him, took him up in his arms, and to him he willed all his honor and glory and the kingdom. Because of this show of favoritism on their father’s part toward Aukelenuiaiku, his brothers and sister hated him and they tried to devise some way of getting rid of him. Said the oldest of the children, Kamakahinuiaiku:4 “Yes, our father is indeed strange; although I am the first-born, still our father did not promise to leave me his honor and glory, and not even the kingdom, but here with the last son he has promised to leave these things to him.”"
"Maanei e ike ai kakou i ka poino o Aukelenuiaiku, a me kona pakele ana i ka make a kona kaikuaana kuhu, aloha ole. A haule o Aukelenuiaiku i loko o ka lua, kahea iho ua kaikuaana huhu la, penei: “E, Kamooinanea e, eia mai ko ai la, ai ia mai.” Ia ia e kahea ana, holo mai la kekahi kaikuaana o Aukelenuiaiku (he kaikuaana aloha ia ia), kahea iho la ma ka waha o ka lua: “E, Kamooinanea e! mai ai mai oe, o ko moopuna mai na o Aukelenuiaiku e lele aku la.” Ma keia haule ana o Aukelenuiaiku, ua olioli loa kona poe kaikuaana huhu ia ia, no kona make ana, e manao ana lako ua make io no o Aukelenuiaiku. Ma keia haule ana o Aukelenuiaiku, manao lakou, ua lilo kona kapu i mea ole, a ua nele ka olelo hooilina a ko lakou makuakane maluna ona, a ua lilo i mea ole loa.","We will here see how Aukelenuiaiku got into trouble and how he escaped the terrible death intended for him by his cruel and merciless brothers. As Aukelenuiaiku was falling down the pit, the angry brother called out: “Say, Kamooinanea, here is your food; eat him up.” While he was calling, one of his younger brothers, a kind one, came up running and called down the pit, saying: “Say, Kamooinanea, don’t eat him up, for he is your own grandson, Aukelenuiaiku, that is being thrown down.” After Aukelenuiaiku had fallen into the pit his older brothers were much pleased, believing that they had now gotten rid of him; that he was really dead; and their father’s promise on him would be unfulfilled, and become utterly void."
"Ia lakou e kamailio ana, hoea hou mai la ua moo nei, a kahea mai la: “E, Aukelenuiaiku e, e haawi mai oe i kekahi kanaka na’u.” Hoole aku o Aukelenuiaiku: “Aole e loaa aku ia oe ke kanaka.” A lohe ua moo nei i keia olelo a Aukelenuiaiku, i mai la ia: “E haawi mai oe ia’u i hookahi kanaka, i aha kau uku o ka hiki ana mai i anei? no ka mea, ua haawi ia mai oe he kanaka make, e ai aku wau ia oe, aka, nana ae nei au ia oe, a o ka mea i puka pono aku mai loko o’u, nolaila, aole au e ai aku ia oe.” Ma keia olelo a ua moo la, ua ae aku o Aukelenuiaiku, a ua manao iho la ia e hooko i ka olelo a kona kupunawahine moo, a Kamooinanea. Ia wa, haawi aku o Aukelenuiaiku i hookahi kanaka i ua moo nei, i ka manawa i loaa ai ia ia, oia kona manawa i ike ia ai, ua nalo koke i loko o ka opu. A pau ia kanaka, nonoi hou mai la ua moo nei ia Aukelenuiaiku i ka lua o ke kanaka. Haawi aku la no o Aukelenuiaiku ia kanaka, a pau no ia ia i ka ai ia. A pau na kanaka elua, koe iho la o Aukelenuiaiku, ia wa, hoi mai la ua moo nei a noho i luna.","While the men were still conversing the lizard again made its appearance and called out: “Say, Aukelenuiaiku, let me have one of the men.” Aukelenuiaiku again refused, saying: “No, you cannot have one of them.” When the lizard heard this it said: “You must give me one of the men. What are you going to pay me for coming here? Because you have been given to me to be killed and that I should devour you, but since I have found out that you are one of those that have gone out of my own body, I cannot eat you up.” When the lizard concluded, Aukelenuiaiku gave his consent, for he thought within himself that the request of his lizard grandmother, Kamooinanea, should be granted. He then gave one of the men to the lizard. As soon as the man was offered, he was swallowed whole. After this first man was consumed the lizard again asked that the second man be given her. Aukelenuiaiku again gave the second man, and he too was swallowed whole. After the second man was consumed there was left only Aukelenuiaiku. The lizard then came out of the sea and laid on the dry sand."
"A pau ka olelo ana a ka moo ia Aukelenuiaiku, alaila, kapili iho la ia i pahu no ke ’kua o Aukelenuiaiku, a paa ka pahu, hoo iho la ia i ke ’kua i loko, oia o Lonoikoualii. A olelo mai la ia Aukelenuiaiku: “O ko akua no nei puni ko aina ia oe; eia ko ai a me ko ia, o Laukahi. He lau maona, pa no i ka lehelehe maona; o ka manawa e maona ai, eha malama e noho ai, alaila, ai hou.” Lalau iho la ua kupunawahine nei i ke koi, a me ka pahi, a hahao iho la i loko o ka pahu, a ooki iho la i kona huelo, a haawi aku la i ka moopuna, i aku la: “O kuu kino maoli keia, oia ka ia oe, a o kuu pau ai kaua, a me kuu kahili ai kaua no ko kaikuahine ia. O ke ano o keia, ina e pau i kuu pau, a kahili i kuu kahili ai kaua, haule i lalo, lilo na kanaka i lehu.” Ma keia mau mea a pau loa, ua hai aku ua moo nei ia Aukelenuiaiku, a ua ao aku i na mea mana a pau loa, a koe nae ka inoa o ke kaikuahine o Aukelenuiaiku, aole i hai aku ua moo la. Eia ka auanei o Namakaokahai no.","At the end of the remarks of the lizard to Aukelenuiaiku, she made a box to hold the god of Aukelenuiaiku. After the box was built she put the god into it, who was Lonoikoualii, and said to Aukelenuiaiku: “With this god you will conquer and become possessed of the land that I have just described. Here is your food and meat; it is a laukahi. This leaf is wholesome; as soon as you touch it to your lips your hunger is satisfied; and when satisfied you can go without eating for a period of four months.” The grandmother then took up an axe and a knife and put them into the box. The lizard next cut off its tail and gave it to the grandson, saying: “This is my real body, which you must take with you. Here are also my pau of feathers and my feather kahili which shall act as your preserver when you meet your cousin. With these things in your possession—that is, by wearing the pau and holding this kahili you will cause your enemies to fall and turn into ashes.” The lizard then explained the uses of all the different things to her grandson, and she also taught him how to preserve these things of magic; but she did not tell him the name of the cousin. She was Namakaokahai."
"A make o Aukelenuiaiku, hoi aku la ua kaikuaana la, a hiki i kahi a na kaikaina e noho ana. Ninau mai la ke kaikuaana aloha ia ia: “Auhea ko kakou pokii?” I aku la ia: “Aole au i ike ia ia, aole i launa, aole no hoi ma ka’u wahi i hele aku nei.” Mahope o ia olelo ana, ku ae la ke kaikuaana aloha o Aukelenuiaiku, a huli aku la. Ma keia huli ana, hiki aku la ia i ka hale, aole i hoi o Aukelenuiaiku. Lalau aku la ia i ka malo a lei ae la i kona ai, a uwe iho la. Ia ia e uwe ana, lohe aku la ko lakou makuakane o Iku, ninau ae la: “Owai keia e uwe nei?” “Owau no, o Ikumailani.” “E uwe ana oe i ke aha?” “E uwe ana au ia Aukelenuiaiku, ua make.” A lohe ka makuakane, uwe iho la ia.","After Aukelenuiaiku’s disappearance the brother returned to where the others were. When the brother who entertained some love for Aukelenuiaiku saw their oldest brother coming back, he asked: “Where is our brother?” The oldest brother replied: “I have not seen him, and he was not at the place where I went to.” After this the brother who wished to save Aukelenuiaiku got up and went out in search of him. In this search he went to their home, where he learned that Aukelenuiaiku had not returned. He then took up the loin cloth of his brother, and wore it round his neck and wept. While he was weeping their father Iku heard it, and so he inquired: “Who is this weeping?” “I, Ikumailani.” “What are you weeping for?” “I am weeping for Aukelenuiaiku; he is dead.” When their father heard this he also wept.""Maanei e hoomaopopo ai kakou i ko Piikea mau hoahanau; o ka mua o Piilani, he kane ia, o kona muli o Piikea (nona keia olelo ana); o Kihapiilani kona muli iho, he kane, o Kalaniapiilani kona muli iho he kane no, ua make mua nae ia. A o Piilani, ka hooilina aina o Maui, a o kona mau pokii malalo mai ona, oia o Piikea a me Kihapiilani; pela no ka Piilani kauoha ia lakou, aka, aole i malama o Piilani ia olelo a ko lakou makuakane.","We will here learn of the brothers of Piikea. The first-born of the family was Piilani, a boy; the one following after him was Piikea whom we have already been introduced to as the wife of Umi. Following her was Kihapiilani, another boy; and the last of the family was Kalanipiilani, also a boy, who died young. Piilani was the heir to the kingdom of Maui, while his younger brother and sister, Kihapiilani and Piikea, were placed under him. This was the expressed will of Piilani to them, but Piilani disregarded the words of their father."
"Ia Piilani e noho ana i ka aina o Maui a puni, noho pu iho la ia me kona kaikaina me Kihapiilani ma Kauiki, ma Hana. Ma keia noho ana, aole malama o Piilani i kona pokii, e like me ke kauoha a ko lakou makuakane, mamua ae o ka wa make. He mea mau ia Piilani, i ka wa ai a me ka wa noho, o ka poe e kana mea oluolu loa, a o kona pokii o Kihapiilani, he mea pono ole i kona manao, a he mea oluolu ole ia ia.","When Piilani came to the throne of all Maui he made his residence at Kauiki in Hana, and there he took his brother to live with him. While living together Piilani did not care for his brother according to the instructions of their father before his death. It was customary with Piilani while eating, or sitting in company, to care more for the others than his brother Kihapiilani. Every time his brother was around he would show a marked degree of hatred towards him, and he evinced his displeasure in many ways."
"I kekahi la, e ai ana o Piilani me kona mau hoa ai, he poe e wale no, aia i mua o lakou ka ai a me ka ia; a o Kihapiilani hoi kona pokii, aole ana ia e ai ana; aka, aia i mua o kona alo, he ipu ohua, na Piilani; lalau aku la ia elua ohua a ai iho la. Ma keia ai ana a Kihapiilani, ike mai la o Piilani; lalau mai la ia i ka ipukai ohua a paa i ka lima, ninau mai la o Piilani: “Nawai la i ai iho nei i ka ipukai ohua?” I aku o Kihapiilani: “Na’u no, no ka mea aole a’u ia.” Ia wa kiola o Piilani i ka ipukai ohua, me ke kai o loko a pa i ka lae o Kihapiilani, naha ae la ka ipukai ohua, a paumaele ka maka i ke kai o ka ohua, a wewela loa iho la.","One day while Piilani was eating with his companions, all strangers, enjoying the good things placed before them, Kihapiilani, although present at the table, was not served with any of the good things; but, in front of him was placed a small calabash containing some small fish. This dish belonged to Piilani. Seeing that this was all there was to be had within reach, he reached into the dish and took out two small fish and ate them. While doing this he was seen by Piilani. Piilani then reached for the dish and held it up in his hand, then asked of Kihapiilani: “Who ate of the fish in this dish?” Kihapiilani replied: “I did, because there was nothing else for me to eat.” Piilani then threw the dish with the fish in it, brine and all, at the forehead of his brother, breaking the dish into pieces and spattering the fish and brine into the eyes of Kihapiilani which blinded him for a while."
"No keia hana ino aloha ole a kona kaikuaana ia ia, hele aku la ia me ka mahuka, a noho ma Kalaniwai ma Makawao. I ko Kihapiilani noho ana ma laila, moe iho la ia ma laila i ka wahine, aole nae lakou i ike o Kihapiilani keia, he ’lii, aka, i ko lakou manao, he kanaka kuaaina loa. Nolaila, olelo na makuahunowai o Kihapiilani, i ka palaualelo, i ka moe wale iho no i ka hale, aole hana. A lohe o Kihapiilani i ka olelo a kona mau makuahunowai, ala ae la ia a iho i ka ako lau uala, ma Kaluaama ma Haiku. [ ] A hiki o Kihapiilani i kai, ike mai la kekahi elemakule o Kukuiokaaulani ka inoa, olelo aku la ia i kekahi elemakule e aku: “E! he ’lii paha keia e iho mai nei, he kahuna paha?” I aku o Kukuiokaaulani: “He ’lii. Ina hookahi anuenue, alaila, he kahuna; aka, ina elua, he ’lii.” Ma keia noonoo o laua, ua holo ia laua, he ’lii, a ua lohe ia no hoi ka nalowale ana o Kihapiilani.","Because of this ill treatment by his elder brother, showing no love or respect for him, Kihapiilani got up and secretly ran away to Kalaniwai, a place in Makawao. While there he met a woman belonging to the place and they were united and lived as husband and wife. The people of the place, however, did not know that this was Kihapiilani, the chief, but took him to be a man from the country. While living with his wife’s parents he was often spoken of as a lazy fellow, spending his time sleeping instead of going out to work. When Kihapiilani heard his wife’s parents speak of him [ ] as being a lazy fellow, he got up and went down to get potato stalks in the lowlands of Kaluaama at Haiku. Upon his arrival at this place, an old man by the name of Kukuiokaaulani saw him and recognized him as of high rank; so he said to his companion, another old man: “Say, that man that is coming down is either a chief or a priest.” After a while he again remarked: “It must be a chief. If there was but one rainbow, then it would be a priest; but since there are two it must surely be a chief.” The two finally decided that the person was a chief, for the fact of the disappearance of Kihapiilani was well known. The two old men then waited for the approach of the stranger. As soon as he came up to them they greeted him, saying: “Our salutation to the chief.” Kihapiilani then admonished them, saying: “Be quiet. Since you two have recognized me you must not reveal my identity.”"
"Noho iho la laua a hiki mai la o Kihapiilani, aloha aku la laua: “Aloha ke ’lii.” Hamau aku la o Kihapiilani: “Hamau ko olua mau waha; he nani ia, ua ike iho la olua ia’u, e huna olua ia’u, mai hoike olua.” A pau ka halawai ana me na elemakule, iho aku la keia a hiki i Kaluaama, malaila ka lau uala e ulu ana, ako iho la o Kihapiilani. Ma keia ako ana a Kihapiilani, lalau iho la ia i ka lau o ka pue uala, a pua ae la a paa, apahu ae la, me ke koe ole o kekahi lau uala, no ka pue.","After this Kihapiilani continued on his way until he came to Kaluaama, where a large patch of sweet potatoes was growing. Kihapiilani then proceeded to pick a quantity of stalks, taking and breaking them from the vines, leaving the hills bare. While he was thus busily picking stalks the owner of the patch arrived, and upon seeing what Kihapiilani was doing he came up to him and began beating him with a stick, but Kihapiilani paid no attention to his beating but kept on picking stalks. After he had picked a quantity sufficient for his purpose he tied them into a large pack, placed the pack on to his back and started for the uplands of Kalaniwai."
